OrdinalRank	Program
9	CopraRNA
11	CopraRNA
13	CopraRNA
24	CopraRNA
25	CopraRNA
38	CopraRNA
41	CopraRNA
45	CopraRNA
47	CopraRNA
48	CopraRNA
54	CopraRNA
59	CopraRNA
63	CopraRNA
64	CopraRNA
91	CopraRNA
94	CopraRNA
101	CopraRNA
105	CopraRNA
107	CopraRNA
113	CopraRNA
115	CopraRNA
119	CopraRNA
129	CopraRNA
132	CopraRNA
135	CopraRNA
148	CopraRNA
151	CopraRNA
153	CopraRNA
182	CopraRNA
191	CopraRNA
192	CopraRNA
200	CopraRNA
202	CopraRNA
250	CopraRNA
261	CopraRNA
277	CopraRNA
291	CopraRNA
302	CopraRNA
353	CopraRNA
439	CopraRNA
471	CopraRNA
555	CopraRNA
609	CopraRNA
770	CopraRNA
894	CopraRNA
982	CopraRNA
1010	CopraRNA
1094	CopraRNA
1353	CopraRNA
1391	CopraRNA
1393	CopraRNA
1540	CopraRNA
1660	CopraRNA
1687	CopraRNA
1720	CopraRNA
1894	CopraRNA
2172	CopraRNA
2176	CopraRNA
2498	CopraRNA
2689	CopraRNA
3171	CopraRNA
3715	CopraRNA
4316	CopraRNA
4375	CopraRNA
4687	CopraRNA
5526	CopraRNA
5547	CopraRNA
5664	CopraRNA
5806	CopraRNA
6283	CopraRNA
6868	CopraRNA
7839	CopraRNA
8181	CopraRNA
8404	CopraRNA
9228	CopraRNA
9268	CopraRNA
9714	CopraRNA
10498	CopraRNA
10999	CopraRNA
11876	CopraRNA
12062	CopraRNA
12389	CopraRNA
12468	CopraRNA
15487	CopraRNA
16841	CopraRNA
18407	CopraRNA
18551	CopraRNA
24685	CopraRNA
25253	CopraRNA
25443	CopraRNA
37244	CopraRNA
54433	CopraRNA
60518	CopraRNA
64531	CopraRNA
65906	CopraRNA
66118	CopraRNA
72893	CopraRNA
73304	CopraRNA
78767	CopraRNA
84933	CopraRNA
86291	CopraRNA
