OrdinalRank	Program
156	IntaRNA
177	IntaRNA
491	IntaRNA
1033	IntaRNA
1329	IntaRNA
1376	IntaRNA
2293	IntaRNA
2497	IntaRNA
2635	IntaRNA
2727	IntaRNA
3376	IntaRNA
3591	IntaRNA
5304	IntaRNA
8409	IntaRNA
9048	IntaRNA
9326	IntaRNA
9810	IntaRNA
10973	IntaRNA
11571	IntaRNA
12931	IntaRNA
13239	IntaRNA
13500	IntaRNA
13589	IntaRNA
14273	IntaRNA
16771	IntaRNA
16980	IntaRNA
17474	IntaRNA
18379	IntaRNA
18428	IntaRNA
18631	IntaRNA
19276	IntaRNA
20468	IntaRNA
20985	IntaRNA
21735	IntaRNA
21920	IntaRNA
21933	IntaRNA
22126	IntaRNA
22996	IntaRNA
23279	IntaRNA
24044	IntaRNA
24827	IntaRNA
24895	IntaRNA
25010	IntaRNA
26362	IntaRNA
27940	IntaRNA
27964	IntaRNA
28902	IntaRNA
29019	IntaRNA
30847	IntaRNA
32868	IntaRNA
35023	IntaRNA
37021	IntaRNA
37707	IntaRNA
37844	IntaRNA
38188	IntaRNA
38706	IntaRNA
39764	IntaRNA
39767	IntaRNA
39940	IntaRNA
40072	IntaRNA
40752	IntaRNA
41530	IntaRNA
41675	IntaRNA
42745	IntaRNA
43404	IntaRNA
43615	IntaRNA
43660	IntaRNA
43811	IntaRNA
44319	IntaRNA
46297	IntaRNA
46843	IntaRNA
47185	IntaRNA
48320	IntaRNA
51008	IntaRNA
51060	IntaRNA
52386	IntaRNA
53320	IntaRNA
53321	IntaRNA
53618	IntaRNA
53694	IntaRNA
53853	IntaRNA
54111	IntaRNA
54137	IntaRNA
57304	IntaRNA
57501	IntaRNA
57910	IntaRNA
60439	IntaRNA
61125	IntaRNA
62120	IntaRNA
63623	IntaRNA
65477	IntaRNA
70387	IntaRNA
71896	IntaRNA
72745	IntaRNA
73976	IntaRNA
76880	IntaRNA
79061	IntaRNA
79431	IntaRNA
81921	IntaRNA
86213	IntaRNA
89050	IntaRNA
