OrdinalRank	Program
12	sRNARFTarget
24	sRNARFTarget
41	sRNARFTarget
207	sRNARFTarget
445	sRNARFTarget
576	sRNARFTarget
989	sRNARFTarget
1891	sRNARFTarget
3092	sRNARFTarget
3635	sRNARFTarget
3982	sRNARFTarget
4159	sRNARFTarget
4620	sRNARFTarget
4926	sRNARFTarget
5558	sRNARFTarget
5629	sRNARFTarget
6108	sRNARFTarget
6422	sRNARFTarget
6740	sRNARFTarget
9089	sRNARFTarget
9098	sRNARFTarget
10144	sRNARFTarget
11094	sRNARFTarget
11136	sRNARFTarget
12755	sRNARFTarget
13021	sRNARFTarget
13464	sRNARFTarget
13646	sRNARFTarget
13847	sRNARFTarget
14557	sRNARFTarget
15050	sRNARFTarget
15929	sRNARFTarget
16216	sRNARFTarget
16260	sRNARFTarget
16929	sRNARFTarget
17330	sRNARFTarget
17981	sRNARFTarget
19196	sRNARFTarget
19272	sRNARFTarget
19308	sRNARFTarget
19633	sRNARFTarget
19768	sRNARFTarget
21336	sRNARFTarget
22650	sRNARFTarget
22762	sRNARFTarget
23121	sRNARFTarget
23220	sRNARFTarget
23727	sRNARFTarget
25099	sRNARFTarget
25706	sRNARFTarget
25727	sRNARFTarget
27457	sRNARFTarget
27583	sRNARFTarget
28694	sRNARFTarget
29769	sRNARFTarget
31040	sRNARFTarget
31669	sRNARFTarget
31798	sRNARFTarget
32168	sRNARFTarget
33498	sRNARFTarget
33511	sRNARFTarget
35362	sRNARFTarget
35480	sRNARFTarget
36115	sRNARFTarget
36446	sRNARFTarget
38207	sRNARFTarget
39285	sRNARFTarget
39453	sRNARFTarget
41577	sRNARFTarget
41916	sRNARFTarget
44355	sRNARFTarget
44463	sRNARFTarget
45969	sRNARFTarget
46276	sRNARFTarget
48132	sRNARFTarget
48531	sRNARFTarget
49098	sRNARFTarget
50050	sRNARFTarget
53659	sRNARFTarget
54241	sRNARFTarget
54980	sRNARFTarget
61743	sRNARFTarget
62456	sRNARFTarget
63253	sRNARFTarget
64158	sRNARFTarget
64261	sRNARFTarget
65146	sRNARFTarget
68908	sRNARFTarget
69563	sRNARFTarget
69934	sRNARFTarget
72250	sRNARFTarget
73058	sRNARFTarget
73318	sRNARFTarget
74203	sRNARFTarget
78102	sRNARFTarget
79366	sRNARFTarget
80090	sRNARFTarget
80734	sRNARFTarget
83227	sRNARFTarget
84110	sRNARFTarget
91936	sRNARFTarget
