sRNA	mRNA	CopraRNA_Score	Class
arcz	elbb	1	0
arcz	rbsa	1	0
arcz	yegu	1	0
arcz	yegv	1	0
chix	ybak	1	0
cyar	rhtb	1	0
cyar	yebo	1	0
cyar	ypfn	1	0
dsra	hns	1	1
dsra	rbsa	1	0
dsra	rpos	1	1
fnrs	infa	1	0
fnrs	iscr	1	1
fnrs	lrp	1	0
fnrs	nirb	1	0
fnrs	topb	1	0
gcvb	gcva	1	0
istr	dcm	1	0
istr	fuck	1	0
istr	wzye	1	0
mcas	cdsa	1	0
mcas	paoa	1	0
mica	luxs	1	0
micc	ompc	1	1
micf	lrp	1	1
micf	murg	1	0
micf	oppa	1	0
omra	gyra	1	0
omra	mnmc	1	0
omrb	eutk	1	0
omrb	lldp	1	0
omrb	mnmc	1	0
omrb	quea	1	0
omrb	tmca	1	0
oxys	oxyr	1	0
rpra	glns	1	0
rpra	phou	1	0
rpra	rpos	1	1
rsex	yedr	1	0
rybb	dedd	1	0
rybb	mraz	1	1
rybb	rbsk	1	0
ryhb	sufb	1	0
sgrs	sgrr	1	0
spf	galk	1	1
spf	pdxj	1	0
chix	chbc	0.99999	1
chix	chip	0.99999	1
cyar	pflb	0.99999	0
cyar	ychq	0.99999	0
fnrs	cpsg	0.99999	0
fnrs	dada	0.99999	0
fnrs	grxd	0.99999	0
fnrs	mara	0.99999	1
glmz	mraz	0.99999	0
glmz	pyri	0.99999	0
istr	kefg	0.99999	0
mica	trud	0.99999	0
micf	ompf	0.99999	1
rpra	aroe	0.99999	0
rpra	hemh	0.99999	0
rpra	purh	0.99999	0
ryhb	nagz	0.99999	1
spf	glta	0.99999	1
spf	pane	0.99999	0
spf	pola	0.99999	0
spf	yciw	0.99999	0
cyar	rplq	0.99998	0
dsra	aes	0.99998	0
dsra	rcnr	0.99998	0
fnrs	acea	0.99998	0
fnrs	bhsa	0.99998	0
fnrs	cueo	0.99998	0
fnrs	pria	0.99998	0
fnrs	rpsh	0.99998	0
istr	infa	0.99998	0
mcas	pgsa	0.99998	0
mcas	yeao	0.99998	0
omra	quea	0.99998	0
omra	tmca	0.99998	0
omrb	rlma	0.99998	0
rpra	purt	0.99998	0
rybb	potd	0.99998	0
rybb	rrab	0.99998	0
ryhb	hemn	0.99998	0
spf	sdab	0.99998	0
spf	yeeo	0.99998	0
cyar	bola	0.99997	0
cyar	mota	0.99997	0
fnrs	hmp	0.99997	0
gcvb	argt	0.99997	1
istr	yihw	0.99997	0
istr	yqga	0.99997	0
mcas	csgd	0.99997	1
micc	lrp	0.99997	0
micc	rrab	0.99997	0
micf	ysab	0.99997	0
rsex	nudb	0.99997	0
spf	mtla	0.99997	0
cyar	nrfe	0.99996	0
cyar	ompx	0.99996	1
dsra	lrp	0.99996	0
dsra	ybhf	0.99996	0
fnrs	rimj	0.99996	0
fnrs	sdha	0.99996	1
fnrs	yfbu	0.99996	0
gcvb	cyca	0.99996	1
istr	aroa	0.99996	0
mica	ftsb	0.99996	0
mica	map	0.99996	0
omra	eutk	0.99996	0
omra	gntu	0.99996	0
omrb	csgd	0.99996	1
rpra	cysd	0.99996	0
spf	succ	0.99996	1
spf	ybbw	0.99996	0
spf	yegu	0.99996	0
fnrs	euth	0.99995	0
fnrs	yoba	0.99995	1
glmz	yccx	0.99995	0
mcas	seld	0.99995	0
rpra	pth	0.99995	0
sgrs	hemh	0.99995	0
spf	dxs	0.99995	0
cyar	meni	0.99994	0
dsra	nuoh	0.99994	0
fnrs	ubia	0.99994	0
gcvb	brnq	0.99994	0
gcvb	livk	0.99994	1
istr	gsk	0.99994	0
micc	ytfk	0.99994	0
spf	gdha	0.99994	1
spf	lpd	0.99994	0
spf	yidg	0.99994	0
fnrs	mete	0.99993	1
istr	glgx	0.99993	0
mica	pal	0.99993	0
rpra	livk	0.99993	0
spf	tkta	0.99993	0
dsra	fetb	0.99992	0
gcvb	dcyd	0.99992	0
gcvb	glti	0.99992	0
cyar	ychh	0.99991	0
fnrs	fdni	0.99991	0
gcvb	prpc	0.99991	0
rpra	bfd	0.99991	0
rsex	mtld	0.99991	0
rybb	ompc	0.99991	1
sgrs	fdoi	0.99991	0
spf	arob	0.99991	0
spf	sdhc	0.99991	1
cyar	glgp	0.9999	0
cyar	ptsi	0.9999	1
dsra	trpa	0.9999	0
istr	clpa	0.9999	0
mcas	ftsb	0.9999	0
mcas	pdxy	0.9999	0
mica	hflc	0.9999	0
mica	ldtc	0.9999	0
rpra	fliz	0.9999	0
rpra	hisq	0.9999	0
rpra	pal	0.9999	0
rpra	qora	0.9999	0
cyar	bcsz	0.99989	0
fnrs	gltb	0.99989	0
fnrs	rplr	0.99989	0
istr	adep	0.99989	0
micc	yeah	0.99989	0
sgrs	yegd	0.99989	0
fnrs	mraz	0.99988	0
fnrs	yrdb	0.99988	0
glmz	pgk	0.99988	0
omrb	yidr	0.99988	0
rpra	sstt	0.99988	0
rybb	yoah	0.99988	0
dsra	ibpa	0.99987	0
gcvb	cobb	0.99987	0
mcas	yeeo	0.99987	0
rpra	pyka	0.99987	0
rybb	alas	0.99987	0
arcz	dsba	0.99986	0
cyar	yobf	0.99986	1
micf	obge	0.99986	0
omrb	metj	0.99986	0
cyar	yohk	0.99985	0
fnrs	tora	0.99985	0
gcvb	asnb	0.99985	0
micf	seqa	0.99985	0
omra	hofn	0.99985	0
rpra	amic	0.99985	0
rpra	csgd	0.99985	1
ryhb	nirb	0.99985	1
arcz	yebc	0.99984	0
fnrs	dcrb	0.99984	0
omrb	yrfg	0.99984	0
spf	fadl	0.99984	0
cyar	wcad	0.99983	0
fnrs	yebf	0.99983	0
mcas	lldp	0.99983	0
mica	ompx	0.99983	1
omrb	zrap	0.99983	0
spf	xylf	0.99983	1
cyar	hofb	0.99982	0
dsra	yidh	0.99982	0
