sRNA	mRNA	RF_Score	Class
isar1	slr0445	0.60194	0
psrr1	slr1819	0.59995	0
isar1	sll0567	0.59793	0
isar1	sll1669	0.59639	0
psrr1	sll0020	0.59629	0
isar1	slr0309	0.5958	0
psrr1	sll1542	0.59558	0
isar1	slr0399	0.5943	0
isar1	sll0051	0.59422	0
isar1	slr1356	0.59406	0
psrr1	sll1797	0.59213	0
isar1	slr1198	0.59205	0
isar1	slr0426	0.59176	0
isar1	sll0224	0.59155	0
psrr1	slr0156	0.59138	0
isar1	slr0603	0.59117	0
psrr1	slr0399	0.5906	0
psrr1	slr0267	0.58991	0
isar1	sll1045	0.5896	0
isar1	slr1706	0.58958	0
isar1	sll0167	0.58909	0
isar1	sll1252	0.58886	0
psrr1	sll0517	0.58837	0
isar1	slr0272	0.58807	0
isar1	sll0703	0.5875	0
isar1	sll1051	0.58737	0
isar1	slr1051	0.58712	0
isar1	slr0447	0.587	0
isar1	slr2081	0.58678	0
psrr1	sll0818	0.58678	0
isar1	slr0773	0.58665	0
isar1	slr0302	0.58582	0
isar1	sll0145	0.58553	0
isar1	slr1661	0.5855	0
isar1	slr0738	0.58501	0
psrr1	slr1043	0.58493	0
isar1	sll1755	0.58481	0
isar1	slr1519	0.58477	0
isar1	slr0145	0.5844	0
isar1	slr0249	0.58434	0
psrr1	sll1771	0.58432	0
isar1	slr0184	0.5841	0
isar1	slr0021	0.58385	0
isar1	slr1150	0.58365	0
isar1	sll0764	0.58358	0
isar1	slr0358	0.58317	0
isar1	slr0676	0.58308	0
isar1	slr1488	0.58306	0
psrr1	sll1825	0.58297	0
isar1	slr0537	0.58273	0
isar1	slr2043	0.58265	0
isar1	sll0679	0.58256	0
isar1	sll0654	0.58237	0
isar1	sll0639	0.58225	0
psrr1	slr0640	0.58216	0
isar1	slr1894	0.58205	0
isar1	sll1033	0.58204	0
psrr1	slr1435	0.58202	0
psrr1	sll0616	0.58181	0
isar1	sll1830	0.58165	0
isar1	slr2025	0.58134	0
isar1	sll1823	0.58132	0
psrr1	sll0763	0.58122	0
isar1	sll1653	0.58118	0
isar1	sll0405	0.58115	0
psrr1	slr2062	0.58098	0
psrr1	slr0149	0.58093	0
isar1	sll1059	0.58085	0
psrr1	slr0019	0.58084	0
isar1	sll1687	0.58076	0
isar1	slr0942	0.58071	0
isar1	sll1599	0.58059	0
isar1	sll0698	0.58054	0
isar1	sll0454	0.5805	0
isar1	slr1400	0.58045	0
isar1	slr0711	0.58022	0
isar1	slr2111	0.58015	0
isar1	slr1285	0.58006	0
isar1	sll1138	0.58004	0
psrr1	slr1895	0.58004	0
psrr1	ssl0352	0.58	0
isar1	slr1564	0.57988	0
isar1	sll0565	0.57987	0
isar1	slr0366	0.57981	0
isar1	sll0616	0.57974	0
isar1	sll1654	0.57974	0
isar1	slr0842	0.57966	0
isar1	sll1242	0.57964	0
psrr1	sll0897	0.57962	0
psrr1	sll0792	0.57952	0
isar1	sll0395	0.5794	0
isar1	slr1562	0.57937	0
psrr1	slr1751	0.57912	0
isar1	sll1514	0.57903	0
isar1	sll0102	0.57901	0
isar1	slr1966	0.57882	0
isar1	sll0757	0.57864	0
psrr1	sll0871	0.57864	0
isar1	slr0552	0.57853	0
isar1	sll0218	0.57844	0
isar1	slr1867	0.57838	0
isar1	slr1875	0.57829	0
isar1	slr1842	0.57826	0
isar1	sll0141	0.57825	0
isar1	slr1140	0.5782	0
isar1	slr0043	0.57817	0
isar1	slr0346	0.57806	0
isar1	sll1854	0.5779	0
psrr1	sll1804	0.57786	0
isar1	slr1130	0.57782	0
psrr1	slr2097	0.57782	0
isar1	slr1103	0.57767	0
isar1	slr0232	0.57763	0
isar1	sll1624	0.57755	0
psrr1	slr0851	0.57741	0
psrr1	sll1762	0.5774	0
isar1	slr0314	0.57719	0
psrr1	sll1677	0.57719	0
isar1	sll1268	0.57709	0
isar1	sll0856	0.57708	0
psrr1	slr0551	0.57708	0
isar1	sll0772	0.57698	0
isar1	sll0921	0.57686	0
isar1	sll1763	0.57684	0
psrr1	sll1787	0.57682	0
psrr1	sll0408	0.5766	0
isar1	slr1829	0.57645	0
isar1	slr0172	0.57644	0
isar1	sll0237	0.57635	0
isar1	slr1588	0.57629	0
isar1	slr1694	0.57621	0
isar1	ssl0020	0.57621	1
isar1	slr0794	0.5762	0
isar1	sll2007	0.57612	0
isar1	slr1740	0.57603	0
isar1	slr0031	0.57592	0
isar1	slr0212	0.57578	0
isar1	sll1360	0.57575	0
isar1	slr1418	0.57574	0
isar1	sll1165	0.5757	0
isar1	slr0506	0.57568	0
isar1	slr1702	0.57568	0
isar1	sll1572	0.57566	0
isar1	slr0348	0.57565	0
psrr1	sll0103	0.57561	0
isar1	slr0845	0.57552	0
isar1	sll1280	0.57529	0
isar1	slr1686	0.57525	0
isar1	sll0430	0.57516	0
isar1	sll0544	0.57513	0
isar1	slr0838	0.57511	0
psrr1	slr1991	0.5751	0
isar1	sll0898	0.57508	0
isar1	slr0702	0.57506	0
psrr1	sll2001	0.57505	0
isar1	sll2001	0.57501	0
isar1	ssr0390	0.57491	0
psrr1	slr0467	0.57489	0
isar1	sll0830	0.57486	0
isar1	slr0941	0.57479	0
isar1	slr0551	0.57468	0
isar1	sll0593	0.57456	0
isar1	slr2004	0.57454	0
isar1	sll0547	0.57441	0
isar1	sll0586	0.57441	0
isar1	sll0487	0.5744	0
psrr1	slr1044	0.57434	0
isar1	sll1564	0.57433	0
isar1	sll0058	0.57429	0
