sRNA	mRNA	Score	Class	OrdinalRank	Program
arcz	elbb	1	0	1	CopraRNA
arcz	rbsa	1	0	2	CopraRNA
arcz	yegu	1	0	3	CopraRNA
arcz	yegv	1	0	4	CopraRNA
chix	ybak	1	0	5	CopraRNA
cyar	rhtb	1	0	6	CopraRNA
cyar	yebo	1	0	7	CopraRNA
cyar	ypfn	1	0	8	CopraRNA
dsra	hns	1	1	9	CopraRNA
dsra	rbsa	1	0	10	CopraRNA
dsra	rpos	1	1	11	CopraRNA
fnrs	infa	1	0	12	CopraRNA
fnrs	iscr	1	1	13	CopraRNA
fnrs	lrp	1	0	14	CopraRNA
fnrs	nirb	1	0	15	CopraRNA
fnrs	topb	1	0	16	CopraRNA
gcvb	gcva	1	0	17	CopraRNA
istr	dcm	1	0	18	CopraRNA
istr	fuck	1	0	19	CopraRNA
istr	wzye	1	0	20	CopraRNA
mcas	cdsa	1	0	21	CopraRNA
mcas	paoa	1	0	22	CopraRNA
mica	luxs	1	0	23	CopraRNA
micc	ompc	1	1	24	CopraRNA
micf	lrp	1	1	25	CopraRNA
micf	murg	1	0	26	CopraRNA
micf	oppa	1	0	27	CopraRNA
omra	gyra	1	0	28	CopraRNA
omra	mnmc	1	0	29	CopraRNA
omrb	eutk	1	0	30	CopraRNA
omrb	lldp	1	0	31	CopraRNA
omrb	mnmc	1	0	32	CopraRNA
omrb	quea	1	0	33	CopraRNA
omrb	tmca	1	0	34	CopraRNA
oxys	oxyr	1	0	35	CopraRNA
rpra	glns	1	0	36	CopraRNA
rpra	phou	1	0	37	CopraRNA
rpra	rpos	1	1	38	CopraRNA
rsex	yedr	1	0	39	CopraRNA
rybb	dedd	1	0	40	CopraRNA
rybb	mraz	1	1	41	CopraRNA
rybb	rbsk	1	0	42	CopraRNA
ryhb	sufb	1	0	43	CopraRNA
sgrs	sgrr	1	0	44	CopraRNA
spf	galk	1	1	45	CopraRNA
spf	pdxj	1	0	46	CopraRNA
chix	chbc	0.99999	1	47	CopraRNA
chix	chip	0.99999	1	48	CopraRNA
cyar	pflb	0.99999	0	49	CopraRNA
cyar	ychq	0.99999	0	50	CopraRNA
fnrs	cpsg	0.99999	0	51	CopraRNA
fnrs	dada	0.99999	0	52	CopraRNA
fnrs	grxd	0.99999	0	53	CopraRNA
fnrs	mara	0.99999	1	54	CopraRNA
glmz	mraz	0.99999	0	55	CopraRNA
glmz	pyri	0.99999	0	56	CopraRNA
istr	kefg	0.99999	0	57	CopraRNA
mica	trud	0.99999	0	58	CopraRNA
micf	ompf	0.99999	1	59	CopraRNA
rpra	aroe	0.99999	0	60	CopraRNA
rpra	hemh	0.99999	0	61	CopraRNA
rpra	purh	0.99999	0	62	CopraRNA
ryhb	nagz	0.99999	1	63	CopraRNA
spf	glta	0.99999	1	64	CopraRNA
spf	pane	0.99999	0	65	CopraRNA
spf	pola	0.99999	0	66	CopraRNA
spf	yciw	0.99999	0	67	CopraRNA
cyar	rplq	0.99998	0	68	CopraRNA
dsra	aes	0.99998	0	69	CopraRNA
dsra	rcnr	0.99998	0	70	CopraRNA
fnrs	acea	0.99998	0	71	CopraRNA
fnrs	bhsa	0.99998	0	72	CopraRNA
fnrs	cueo	0.99998	0	73	CopraRNA
fnrs	pria	0.99998	0	74	CopraRNA
fnrs	rpsh	0.99998	0	75	CopraRNA
istr	infa	0.99998	0	76	CopraRNA
mcas	pgsa	0.99998	0	77	CopraRNA
mcas	yeao	0.99998	0	78	CopraRNA
omra	quea	0.99998	0	79	CopraRNA
omra	tmca	0.99998	0	80	CopraRNA
omrb	rlma	0.99998	0	81	CopraRNA
rpra	purt	0.99998	0	82	CopraRNA
rybb	potd	0.99998	0	83	CopraRNA
rybb	rrab	0.99998	0	84	CopraRNA
ryhb	hemn	0.99998	0	85	CopraRNA
spf	sdab	0.99998	0	86	CopraRNA
spf	yeeo	0.99998	0	87	CopraRNA
cyar	bola	0.99997	0	88	CopraRNA
cyar	mota	0.99997	0	89	CopraRNA
fnrs	hmp	0.99997	0	90	CopraRNA
gcvb	argt	0.99997	1	91	CopraRNA
istr	yihw	0.99997	0	92	CopraRNA
istr	yqga	0.99997	0	93	CopraRNA
mcas	csgd	0.99997	1	94	CopraRNA
micc	lrp	0.99997	0	95	CopraRNA
micc	rrab	0.99997	0	96	CopraRNA
micf	ysab	0.99997	0	97	CopraRNA
rsex	nudb	0.99997	0	98	CopraRNA
spf	mtla	0.99997	0	99	CopraRNA
cyar	nrfe	0.99996	0	100	CopraRNA
cyar	ompx	0.99996	1	101	CopraRNA
dsra	lrp	0.99996	0	102	CopraRNA
dsra	ybhf	0.99996	0	103	CopraRNA
fnrs	rimj	0.99996	0	104	CopraRNA
