sRNA	mRNA	Score	Class	OrdinalRank	Program
mcas	flhd	0.79284	0	1	sRNARFTarget
dsra	rbsd	0.73921	0	2	sRNARFTarget
omra	gmhb	0.73595	0	3	sRNARFTarget
omra	cydd	0.73461	0	4	sRNARFTarget
omra	ydbh	0.73298	0	5	sRNARFTarget
omra	hxpa	0.73063	0	6	sRNARFTarget
omra	ssuc	0.72905	0	7	sRNARFTarget
omra	ybgi	0.72798	0	8	sRNARFTarget
omra	yccs	0.72778	0	9	sRNARFTarget
omra	sufd	0.72635	0	10	sRNARFTarget
omra	chez	0.72396	0	11	sRNARFTarget
dsra	hns	0.72341	1	12	sRNARFTarget
omra	xylb	0.72138	0	13	sRNARFTarget
omra	mgta	0.72106	0	14	sRNARFTarget
spf	ascf	0.72012	0	15	sRNARFTarget
omra	paaz	0.71989	0	16	sRNARFTarget
omra	glmm	0.71983	0	17	sRNARFTarget
omra	glcd	0.71965	0	18	sRNARFTarget
omra	pdxk	0.71845	0	19	sRNARFTarget
omra	rpnc	0.71675	0	20	sRNARFTarget
omra	yhfk	0.71594	0	21	sRNARFTarget
omra	yhbe	0.71556	0	22	sRNARFTarget
omra	yjhg	0.71533	0	23	sRNARFTarget
mcas	csgd	0.71292	1	24	sRNARFTarget
omra	csie	0.71262	0	25	sRNARFTarget
omra	fdoi	0.71258	0	26	sRNARFTarget
omra	ynbc	0.71232	0	27	sRNARFTarget
omra	tdcg	0.71197	0	28	sRNARFTarget
omra	rlmd	0.71079	0	29	sRNARFTarget
cyar	yebo	0.71071	0	30	sRNARFTarget
omra	fola	0.71063	0	31	sRNARFTarget
omra	pmba	0.71048	0	32	sRNARFTarget
omra	mutm	0.70995	0	33	sRNARFTarget
omra	ybal	0.70919	0	34	sRNARFTarget
omra	aidb	0.70892	0	35	sRNARFTarget
omra	dusc	0.70878	0	36	sRNARFTarget
omra	osmb	0.70859	0	37	sRNARFTarget
omrb	gntp	0.70836	0	38	sRNARFTarget
spf	maea	0.70765	0	39	sRNARFTarget
omra	macb	0.70756	0	40	sRNARFTarget
spf	stha	0.70745	1	41	sRNARFTarget
omra	tyra	0.7074	0	42	sRNARFTarget
omra	glrk	0.70669	0	43	sRNARFTarget
omra	clpb	0.70659	0	44	sRNARFTarget
omra	held	0.70609	0	45	sRNARFTarget
spf	bgla	0.70599	0	46	sRNARFTarget
cyar	mgrb	0.70591	0	47	sRNARFTarget
omrb	yaiy	0.70569	0	48	sRNARFTarget
omra	patd	0.70564	0	49	sRNARFTarget
omra	paae	0.70528	0	50	sRNARFTarget
omra	wcac	0.70528	0	51	sRNARFTarget
omra	flha	0.70522	0	52	sRNARFTarget
omra	nagk	0.70522	0	53	sRNARFTarget
omra	nadb	0.70503	0	54	sRNARFTarget
omra	paak	0.70424	0	55	sRNARFTarget
omra	malk	0.704	0	56	sRNARFTarget
omra	gsia	0.70373	0	57	sRNARFTarget
omra	yehx	0.70361	0	58	sRNARFTarget
omra	dgce	0.7036	0	59	sRNARFTarget
omra	mdla	0.70354	0	60	sRNARFTarget
omra	kefc	0.70304	0	61	sRNARFTarget
spf	pola	0.70298	0	62	sRNARFTarget
spf	paak	0.7028	0	63	sRNARFTarget
omra	gaty	0.70265	0	64	sRNARFTarget
omra	nada	0.70246	0	65	sRNARFTarget
rybb	maop	0.70236	0	66	sRNARFTarget
spf	nant	0.70232	0	67	sRNARFTarget
omrb	lyso	0.70214	0	68	sRNARFTarget
