sRNA	mRNA	Score	Class	OrdinalRank	Program
isar1	slr1102	1	0	1	IntaRNA
psrr1	sll1027	0.99998	0	2	IntaRNA
isar1	slr1729	0.99991	0	3	IntaRNA
isar1	slr1788	0.99985	0	4	IntaRNA
isar1	sll1888	0.99983	0	5	IntaRNA
isar1	slr1495	0.99975	0	6	IntaRNA
psrr1	slr0749	0.99974	0	7	IntaRNA
isar1	slr0964	0.99966	0	8	IntaRNA
isar1	ssr1256	0.99963	0	9	IntaRNA
isar1	slr1726	0.99951	0	10	IntaRNA
psrr1	sll0208	0.99946	0	11	IntaRNA
psrr1	sll1665	0.99929	0	12	IntaRNA
isar1	sll0006	0.99921	0	13	IntaRNA
psrr1	slr1512	0.99916	0	14	IntaRNA
psrr1	sll1360	0.99904	0	15	IntaRNA
psrr1	slr0743	0.99896	0	16	IntaRNA
isar1	sll1265	0.99877	0	17	IntaRNA
isar1	sll0162	0.99876	0	18	IntaRNA
psrr1	slr2131	0.99853	0	19	IntaRNA
isar1	sll0654	0.9985	0	20	IntaRNA
psrr1	slr1699	0.99841	0	21	IntaRNA
psrr1	sll0727	0.99831	0	22	IntaRNA
psrr1	slr1403	0.99831	0	23	IntaRNA
psrr1	sll0489	0.99815	0	24	IntaRNA
isar1	sll1787	0.9979	0	25	IntaRNA
isar1	slr1975	0.99773	0	26	IntaRNA
isar1	sll0504	0.9976	0	27	IntaRNA
isar1	slr0876	0.99712	0	28	IntaRNA
isar1	sll0721	0.99707	0	29	IntaRNA
isar1	slr2099	0.99688	0	30	IntaRNA
isar1	slr0569	0.99673	0	31	IntaRNA
psrr1	sll1540	0.99645	0	32	IntaRNA
isar1	slr1103	0.99626	0	33	IntaRNA
isar1	sll1789	0.99609	0	34	IntaRNA
isar1	slr0212	0.99605	0	35	IntaRNA
isar1	sll1723	0.99525	0	36	IntaRNA
isar1	sll0750	0.995	0	37	IntaRNA
isar1	slr0750	0.995	1	38	IntaRNA
isar1	slr0197	0.99465	0	39	IntaRNA
psrr1	slr1772	0.99465	0	40	IntaRNA
psrr1	slr0624	0.99451	0	41	IntaRNA
psrr1	slr0513	0.99447	0	42	IntaRNA
psrr1	slr1212	0.99442	0	43	IntaRNA
isar1	sll1043	0.99432	0	44	IntaRNA
isar1	sll0855	0.99408	0	45	IntaRNA
psrr1	slr1648	0.99403	0	46	IntaRNA
isar1	slr0851	0.99367	0	47	IntaRNA
psrr1	sll1473	0.99357	0	48	IntaRNA
isar1	slr2031	0.9933	0	49	IntaRNA
psrr1	slr0043	0.99319	0	50	IntaRNA
isar1	slr0208	0.99285	0	51	IntaRNA
psrr1	sll1068	0.99279	0	52	IntaRNA
psrr1	sll0696	0.99273	0	53	IntaRNA
isar1	sll1940	0.99173	0	54	IntaRNA
isar1	sll0021	0.99146	0	55	IntaRNA
isar1	slr1543	0.99146	0	56	IntaRNA
isar1	slr1224	0.99126	0	57	IntaRNA
psrr1	slr0734	0.99047	0	58	IntaRNA
isar1	sll0045	0.9904	0	59	IntaRNA
psrr1	slr0597	0.99002	0	60	IntaRNA
isar1	slr1041	0.98986	0	61	IntaRNA
psrr1	sll0109	0.98986	0	62	IntaRNA
isar1	slr2130	0.98962	0	63	IntaRNA
psrr1	sll0776	0.98954	0	64	IntaRNA
isar1	sll0616	0.9893	0	65	IntaRNA
psrr1	sll1750	0.98897	0	66	IntaRNA
psrr1	slr1768	0.9888	0	67	IntaRNA
psrr1	sll1624	0.98871	0	68	IntaRNA
isar1	slr1908	0.98863	0	69	IntaRNA
isar1	sll1932	0.98819	0	70	IntaRNA
isar1	sll0698	0.98792	0	71	IntaRNA
psrr1	sll1934	0.98783	0	72	IntaRNA
psrr1	slr2058	0.98746	0	73	IntaRNA
isar1	sll1484	0.98717	0	74	IntaRNA
isar1	slr1435	0.98717	0	75	IntaRNA
psrr1	slr1227	0.98698	0	76	IntaRNA
psrr1	slr1934	0.98688	0	77	IntaRNA
psrr1	sll1653	0.98649	0	78	IntaRNA
psrr1	sll1082	0.98598	0	79	IntaRNA
psrr1	slr2002	0.98588	0	80	IntaRNA
isar1	sll0745	0.98546	0	81	IntaRNA
psrr1	slr0386	0.98535	0	82	IntaRNA
isar1	slr1557	0.98503	0	83	IntaRNA
psrr1	slr0243	0.98503	0	84	IntaRNA
psrr1	slr0909	0.98503	0	85	IntaRNA
isar1	slr0554	0.9847	0	86	IntaRNA
