sRNA	mRNA	Score	Class	OrdinalRank	Program
gcvb	pm0494	0.57444	0	1	sRNARFTarget
gcvb	pm_rs03970	0.55257	0	2	sRNARFTarget
gcvb	pm_rs00560	0.55193	0	3	sRNARFTarget
gcvb	pm_rs06810	0.54968	0	4	sRNARFTarget
gcvb	pm_rs02870	0.54926	0	5	sRNARFTarget
gcvb	pm_rs00565	0.54756	0	6	sRNARFTarget
gcvb	pm_rs05925	0.54711	0	7	sRNARFTarget
gcvb	pm_rs06270	0.54662	0	8	sRNARFTarget
gcvb	pm_rs10120	0.54646	0	9	sRNARFTarget
gcvb	pm_rs07290	0.54452	0	10	sRNARFTarget
gcvb	pm_rs00080	0.54346	0	11	sRNARFTarget
gcvb	pm_rs06125	0.54306	0	12	sRNARFTarget
gcvb	pm_rs05650	0.54259	0	13	sRNARFTarget
gcvb	pm1084	0.54259	0	14	sRNARFTarget
gcvb	pm_rs08325	0.54153	0	15	sRNARFTarget
gcvb	pm_rs00875	0.53975	0	16	sRNARFTarget
gcvb	pm_rs01445	0.53889	0	17	sRNARFTarget
gcvb	pm0283	0.53889	0	18	sRNARFTarget
gcvb	pm_rs05860	0.53873	0	19	sRNARFTarget
gcvb	ribd	0.53597	0	20	sRNARFTarget
gcvb	pm_rs00910	0.53457	0	21	sRNARFTarget
gcvb	pm_rs00900	0.53187	0	22	sRNARFTarget
gcvb	pm_rs08475	0.53152	0	23	sRNARFTarget
gcvb	rpmd	0.53053	0	24	sRNARFTarget
gcvb	pm_rs02590	0.52965	0	25	sRNARFTarget
gcvb	pm_rs02620	0.52953	0	26	sRNARFTarget
gcvb	pm_rs10440	0.52912	0	27	sRNARFTarget
gcvb	pm_rs09260	0.52869	0	28	sRNARFTarget
gcvb	pm_rs08765	0.52852	0	29	sRNARFTarget
gcvb	pm_rs04825	0.52799	0	30	sRNARFTarget
gcvb	pm_rs07475	0.52778	0	31	sRNARFTarget
gcvb	pm_rs09860	0.52776	0	32	sRNARFTarget
gcvb	pm_rs00610	0.52744	0	33	sRNARFTarget
gcvb	pm_rs07675	0.52718	0	34	sRNARFTarget
gcvb	pm_rs01105	0.52614	0	35	sRNARFTarget
gcvb	pm_rs05230	0.52603	0	36	sRNARFTarget
gcvb	pm_rs10250	0.52562	0	37	sRNARFTarget
gcvb	pm_rs03115	0.52532	0	38	sRNARFTarget
gcvb	pm_rs02795	0.52529	0	39	sRNARFTarget
gcvb	pm_rs06555	0.52466	0	40	sRNARFTarget
gcvb	nudf	0.52424	0	41	sRNARFTarget
gcvb	pm_rs00320	0.5237	0	42	sRNARFTarget
gcvb	pm_rs03460	0.52328	0	43	sRNARFTarget
gcvb	rpmg	0.52288	0	44	sRNARFTarget
gcvb	pm_rs09280	0.52237	0	45	sRNARFTarget
gcvb	pm_rs04710	0.52236	0	46	sRNARFTarget
gcvb	pm_rs04040	0.5216	0	47	sRNARFTarget
gcvb	pm_rs04005	0.52115	0	48	sRNARFTarget
gcvb	pm_rs09515	0.52085	0	49	sRNARFTarget
gcvb	pm_rs02600	0.52022	0	50	sRNARFTarget
gcvb	pm_rs07875	0.52011	0	51	sRNARFTarget
gcvb	pm_rs07880	0.51998	0	52	sRNARFTarget
gcvb	pm_rs06440	0.51996	0	53	sRNARFTarget
gcvb	pm_rs07320	0.51977	0	54	sRNARFTarget
gcvb	pm_rs03565	0.51965	0	55	sRNARFTarget
gcvb	pm_rs04355	0.51959	0	56	sRNARFTarget
gcvb	pm_rs04490	0.5194	0	57	sRNARFTarget
gcvb	smpb	0.51935	0	58	sRNARFTarget
gcvb	pm_rs00160	0.51817	0	59	sRNARFTarget
gcvb	pm1963	0.51758	0	60	sRNARFTarget
gcvb	pm_rs09450	0.51755	0	61	sRNARFTarget
gcvb	pm0489	0.51727	0	62	sRNARFTarget
gcvb	pm0495	0.51699	0	63	sRNARFTarget
gcvb	fis	0.51682	0	64	sRNARFTarget
gcvb	pm0854	0.51673	0	65	sRNARFTarget
gcvb	pm_rs06845	0.51663	0	66	sRNARFTarget
gcvb	pm_rs04445	0.5161	0	67	sRNARFTarget
gcvb	pm_rs07790	0.51594	0	68	sRNARFTarget
gcvb	pm_rs03700	0.5156	0	69	sRNARFTarget
gcvb	pm_rs09250	0.51546	0	70	sRNARFTarget
gcvb	pm_rs03385	0.51534	0	71	sRNARFTarget
gcvb	pm_rs04950	0.515	0	72	sRNARFTarget
gcvb	pm_rs01170	0.51492	0	73	sRNARFTarget
gcvb	pm_rs09525	0.51489	0	74	sRNARFTarget
gcvb	pm_rs03080	0.51443	0	75	sRNARFTarget
gcvb	pm_rs08365	0.51432	0	76	sRNARFTarget
gcvb	pm_rs05275	0.51424	0	77	sRNARFTarget
gcvb	pm_rs05245	0.51404	0	78	sRNARFTarget
gcvb	pm_rs09355	0.51404	0	79	sRNARFTarget
gcvb	pm_rs03695	0.51383	0	80	sRNARFTarget
gcvb	pm_rs00545	0.51338	0	81	sRNARFTarget
gcvb	pm_rs05615	0.51318	0	82	sRNARFTarget
gcvb	pm_rs00820	0.51304	0	83	sRNARFTarget
gcvb	pm_rs02155	0.51303	0	84	sRNARFTarget
gcvb	rpsj	0.51303	0	85	sRNARFTarget
gcvb	pm_rs03610	0.5126	0	86	sRNARFTarget
gcvb	pm_rs00930	0.51228	0	87	sRNARFTarget
gcvb	pm_rs00295	0.51221	0	88	sRNARFTarget
gcvb	pm_rs03160	0.51221	0	89	sRNARFTarget
gcvb	pm_rs00360	0.51215	0	90	sRNARFTarget
gcvb	pm_rs00790	0.51197	0	91	sRNARFTarget
gcvb	pm_rs09070	0.51191	0	92	sRNARFTarget
gcvb	pm_rs03955	0.51107	0	93	sRNARFTarget
gcvb	pm_rs03195	0.51093	0	94	sRNARFTarget
gcvb	pm_rs05850	0.51078	0	95	sRNARFTarget
gcvb	pm_rs07285	0.51074	0	96	sRNARFTarget
gcvb	pm_rs09505	0.51066	0	97	sRNARFTarget
gcvb	metq	0.51059	1	98	sRNARFTarget
gcvb	pm_rs01990	0.51055	0	99	sRNARFTarget
gcvb	pm_rs07500	0.51032	0	100	sRNARFTarget
gcvb	pm_rs07295	0.51015	0	101	sRNARFTarget
gcvb	pm_rs06095	0.51014	0	102	sRNARFTarget
gcvb	pm_rs07860	0.50967	0	103	sRNARFTarget
gcvb	leus	0.50964	0	104	sRNARFTarget
gcvb	pm0501	0.50948	0	105	sRNARFTarget
gcvb	pm_rs09230	0.50939	0	106	sRNARFTarget
gcvb	pm_rs06330	0.50907	0	107	sRNARFTarget
gcvb	pm_rs03010	0.50896	0	108	sRNARFTarget
gcvb	pm_rs09235	0.50895	0	109	sRNARFTarget
gcvb	rpme	0.50893	0	110	sRNARFTarget
gcvb	pm_rs05935	0.50891	0	111	sRNARFTarget
gcvb	pm_rs06780	0.5089	0	112	sRNARFTarget
gcvb	pm_rs07705	0.50877	0	113	sRNARFTarget
gcvb	rplu	0.50875	0	114	sRNARFTarget
gcvb	pm_rs01030	0.50872	0	115	sRNARFTarget
gcvb	pm_rs01440	0.50839	0	116	sRNARFTarget
gcvb	pm_rs04055	0.50839	0	117	sRNARFTarget
gcvb	pm_rs03855	0.50836	0	118	sRNARFTarget
gcvb	pm_rs00770	0.50832	0	119	sRNARFTarget
gcvb	pm_rs07595	0.50827	0	120	sRNARFTarget
gcvb	pm_rs09300	0.50825	0	121	sRNARFTarget
gcvb	murq	0.50814	0	122	sRNARFTarget
gcvb	pm_rs08860	0.50806	0	123	sRNARFTarget
gcvb	pm_rs08135	0.50787	0	124	sRNARFTarget
gcvb	pm_rs09895	0.50756	0	125	sRNARFTarget
gcvb	pm_rs05840	0.50726	0	126	sRNARFTarget
gcvb	rpmj	0.50723	0	127	sRNARFTarget
gcvb	pm_rs05545	0.50696	0	128	sRNARFTarget
gcvb	pm_rs09955	0.50667	0	129	sRNARFTarget
gcvb	hisg	0.50658	0	130	sRNARFTarget
gcvb	pm_rs02980	0.50648	0	131	sRNARFTarget
gcvb	pm_rs09520	0.50646	0	132	sRNARFTarget
gcvb	pm_rs09420	0.50644	0	133	sRNARFTarget
gcvb	pm_rs02655	0.50631	0	134	sRNARFTarget
