sRNA	mRNA	Score	Class
gcvb	pm_rs02940	1	0
gcvb	pm_rs02935	0.99997	0
gcvb	pm_rs05530	0.99892	0
gcvb	pm_rs09420	0.99882	0
gcvb	metq	0.99783	1
gcvb	pm_rs01210	0.99779	1
gcvb	pm_rs09580	0.9977	0
gcvb	pm_rs08795	0.99745	0
gcvb	pm_rs01275	0.99659	0
gcvb	pm_rs01900	0.9964	0
gcvb	pm_rs10005	0.99552	0
gcvb	pm_rs06815	0.99471	0
gcvb	pm_rs06355	0.99455	0
gcvb	pm_rs09170	0.99327	0
gcvb	pm_rs10015	0.9929	0
gcvb	pm_rs02795	0.99216	0
gcvb	pm_rs00740	0.9917	0
gcvb	pm_rs00585	0.99159	0
gcvb	pm_rs09615	0.9908	0
gcvb	pm_rs05135	0.98998	0
gcvb	pm_rs00435	0.98991	0
gcvb	pm_rs10260	0.98982	0
gcvb	pm_rs08075	0.98721	0
gcvb	pm_rs06840	0.98665	0
gcvb	pm_rs04590	0.98653	0
gcvb	pm_rs07375	0.98645	0
gcvb	pm_rs00675	0.98631	0
gcvb	pm_rs09700	0.98614	0
gcvb	pm_rs00145	0.98589	0
gcvb	pm_rs08135	0.9857	0
gcvb	pm_rs01475	0.98465	0
gcvb	pm_rs10170	0.98321	0
gcvb	pm_rs09675	0.98283	0
gcvb	pm_rs04695	0.98257	0
gcvb	idnk	0.98135	0
gcvb	pm_rs09600	0.9811	0
gcvb	pm_rs01115	0.98097	0
gcvb	pm_rs09775	0.98094	0
gcvb	pm_rs06150	0.98066	0
gcvb	pm_rs08870	0.98023	0
gcvb	pm_rs01870	0.97991	0
gcvb	pm_rs01300	0.97987	0
gcvb	pm_rs00760	0.97783	0
gcvb	obge	0.97759	0
gcvb	pm_rs07510	0.9775	0
gcvb	pm_rs07120	0.97619	0
gcvb	pm_rs02445	0.9755	0
gcvb	pm_rs03210	0.97535	0
gcvb	pm_rs01455	0.97532	0
gcvb	pm_rs00395	0.97474	0
gcvb	pm_rs06635	0.97457	0
gcvb	pm_rs09920	0.97409	1
gcvb	pm_rs08945	0.97409	0
gcvb	pm_rs08455	0.97396	0
gcvb	pm_rs00065	0.9738	0
gcvb	pm_rs03660	0.97236	0
gcvb	pm_rs08605	0.97233	0
gcvb	pm_rs05060	0.97228	0
gcvb	pm_rs06395	0.97225	0
gcvb	pm_rs01855	0.97174	0
gcvb	pm_rs00795	0.97118	0
gcvb	pm_rs01650	0.97064	0
gcvb	pm_rs04100	0.97042	0
gcvb	pm_rs05920	0.9703	0
gcvb	pm_rs05425	0.97006	0
gcvb	pm_rs07155	0.96966	0
gcvb	pm_rs01685	0.96904	0
gcvb	pm_rs01740	0.96881	0
gcvb	pm_rs05605	0.96845	0
gcvb	ppnk	0.96815	0
gcvb	pm_rs05905	0.96718	0
gcvb	pm_rs09415	0.96654	0
gcvb	pm_rs07475	0.9633	0
gcvb	pm_rs01835	0.96329	0
gcvb	pm_rs06195	0.96296	0
gcvb	pm_rs09380	0.96292	0
gcvb	pm_rs02905	0.96226	0
gcvb	pm_rs05795	0.96206	0
gcvb	pm_rs01700	0.96204	0
gcvb	pm_rs03895	0.96122	0
gcvb	pm_rs00710	0.9609	0
