sRNA	mRNA	Score	Class
mcas	flhd	0.79284	0
dsra	rbsd	0.73921	0
omra	gmhb	0.73595	0
omra	cydd	0.73461	0
omra	ydbh	0.73298	0
omra	hxpa	0.73063	0
omra	ssuc	0.72905	0
omra	ybgi	0.72798	0
omra	yccs	0.72778	0
omra	sufd	0.72635	0
omra	chez	0.72396	0
dsra	hns	0.72341	1
omra	xylb	0.72138	0
omra	mgta	0.72106	0
spf	ascf	0.72012	0
omra	paaz	0.71989	0
omra	glmm	0.71983	0
omra	glcd	0.71965	0
omra	pdxk	0.71845	0
omra	rpnc	0.71675	0
omra	yhfk	0.71594	0
omra	yhbe	0.71556	0
omra	yjhg	0.71533	0
mcas	csgd	0.71292	1
omra	csie	0.71262	0
omra	fdoi	0.71258	0
omra	ynbc	0.71232	0
omra	tdcg	0.71197	0
omra	rlmd	0.71079	0
cyar	yebo	0.71071	0
omra	fola	0.71063	0
omra	pmba	0.71048	0
omra	mutm	0.70995	0
omra	ybal	0.70919	0
omra	aidb	0.70892	0
omra	dusc	0.70878	0
omra	osmb	0.70859	0
omrb	gntp	0.70836	0
spf	maea	0.70765	0
omra	macb	0.70756	0
spf	stha	0.70745	1
omra	tyra	0.7074	0
omra	glrk	0.70669	0
omra	clpb	0.70659	0
omra	held	0.70609	0
spf	bgla	0.70599	0
cyar	mgrb	0.70591	0
omrb	yaiy	0.70569	0
omra	patd	0.70564	0
omra	paae	0.70528	0
omra	wcac	0.70528	0
omra	flha	0.70522	0
omra	nagk	0.70522	0
omra	nadb	0.70503	0
omra	paak	0.70424	0
omra	malk	0.704	0
omra	gsia	0.70373	0
omra	yehx	0.70361	0
omra	dgce	0.7036	0
omra	mdla	0.70354	0
omra	kefc	0.70304	0
spf	pola	0.70298	0
spf	paak	0.7028	0
omra	gaty	0.70265	0
omra	nada	0.70246	0
rybb	maop	0.70236	0
spf	nant	0.70232	0
omrb	lyso	0.70214	0
dsra	tdk	0.70207	0
omra	yaep	0.70157	0
omra	btss	0.70149	0
omra	gntp	0.70139	0
spf	caia	0.70121	0
omra	btub	0.70095	0
oxys	yeac	0.70056	0
omra	pdxi	0.7005	0
omra	pnta	0.70016	0
omra	gss	0.69985	0
cyar	hded	0.69976	0
omra	ydht	0.6997	0
omra	ybhj	0.69927	0
omra	pane	0.69917	0
omra	hyua	0.69911	0
omra	yhfx	0.699	0
omra	arag	0.69886	0
omra	dhar	0.69853	0
spf	ybio	0.69719	0
omra	paah	0.69707	0
omra	hism	0.69671	0
omra	yafv	0.69621	0
omra	yejf	0.69581	0
omra	yfhm	0.69578	0
mica	mgts	0.69577	0
omra	xylh	0.69548	0
omra	umuc	0.69492	0
omra	aslb	0.69469	0
omra	ykgf	0.69466	0
omra	aaeb	0.69462	0
rydc	csgd	0.69451	0
omra	pdxy	0.69445	0
omra	yfce	0.69444	0
gcvb	thrl	0.69427	0
omra	thim	0.69421	0
omra	xerd	0.6942	0
omra	lysa	0.69412	0
omra	modc	0.69323	0
omra	glne	0.69303	0
spf	modc	0.69302	0
omra	atob	0.69286	0
dsra	rcsa	0.69283	0
oxys	yfdh	0.69275	0
omra	yadl	0.69244	0
dsra	pgab	0.69243	0
omra	appc	0.69241	0
spf	maly	0.69228	0
omra	pitb	0.6922	0
dsra	mreb	0.69199	0
omra	yhin	0.69197	0
omra	mhpf	0.69194	0
omra	phor	0.69141	0
micc	hns	0.69118	0
omra	ypfh	0.69117	0
omra	ygho	0.69101	0
rybb	metq	0.69096	0
omrb	trxc	0.69076	0
omra	gsk	0.69071	0
omra	mena	0.69065	0
omra	arna	0.6904	0
omra	caia	0.69015	0
omra	zras	0.6896	0
spf	recc	0.68948	0
dsra	argr	0.68937	0
omra	gpp	0.6893	0
omra	stha	0.68916	0
omra	cyse	0.68906	0
omra	pxpc	0.68872	0
spf	acek	0.68869	0
spf	wece	0.68861	0
omra	zntb	0.6886	0
omra	tora	0.68832	0
omra	fabh	0.68809	0
omra	mlc	0.68798	0
omra	ptsp	0.6879	0
omra	ygbi	0.68781	0
omra	aldb	0.68778	0
rybb	ompt	0.68774	0
omrb	yphd	0.68767	0
omra	ydhf	0.68756	0
omra	trpc	0.68741	0
oxys	yobf	0.68729	0
omra	yggp	0.6872	0
omra	pphc	0.68716	0
omra	cof	0.68704	0
spf	hisb	0.68702	0
spf	glpf	0.687	0
omra	mure	0.68685	0
rybb	lpp	0.68683	0
omra	yggw	0.68676	0
omra	pdek	0.68673	0
omra	deor	0.68616	0
ryhb	ftna	0.68613	0
omra	fabf	0.6861	0
omra	kefb	0.68609	0
omra	gsid	0.68603	0
omrb	yhdn	0.68591	0
omra	kup	0.68587	0
omra	glda	0.68583	0
omra	yhet	0.68559	0
omra	ycho	0.68553	0
spf	aspc	0.68553	0
omra	xapa	0.68546	0
omra	mpl	0.68504	0
omra	ddpc	0.68498	0
omra	yaaw	0.68495	0
omra	gatz	0.68489	0
oxys	gfcb	0.68479	0
omra	torr	0.68466	0
omra	aer	0.68439	0
omra	feab	0.68435	0
spf	ycao	0.68422	0
omra	yjju	0.68419	0
omra	rsme	0.68409	0
omra	lgod	0.68404	0
omrb	yeee	0.68392	0
spf	yjbh	0.68381	0
spf	metf	0.68375	0
spf	ulag	0.6837	0
omra	ompa	0.68361	0
omra	gark	0.68357	0
omra	argk	0.68346	0
omra	dgcq	0.68334	0
omra	aroa	0.68328	0
spf	yphg	0.6832	0
omra	iclr	0.68315	0
rybb	rpos	0.68315	0
omra	ypdf	0.68309	0
omra	glca	0.68307	0
omra	ligb	0.68302	0
omra	ssub	0.68296	0
omra	dcud	0.68274	0
spf	malq	0.68272	0
omra	yegi	0.68267	0
omra	garr	0.68262	0
spf	trps	0.68252	0
omra	fecd	0.68249	0
omra	narx	0.68245	0
spf	galk	0.68243	1
omra	hiss	0.68237	0
dsra	pdef	0.68223	0
omra	gals	0.6822	0
omra	mali	0.68213	0
omra	malq	0.68177	0
omra	cutc	0.68161	0
omra	dcp	0.68146	0
omra	narh	0.6814	0
omra	glcg	0.68132	0
omra	rrrd	0.68131	0
spf	yeie	0.68131	0
spf	fes	0.6813	0
omra	tyrr	0.68129	0
omra	yegs	0.68126	0
omra	crec	0.68109	0
omra	bisc	0.68108	0
omra	yeiq	0.68093	0
omra	pppa	0.68076	0
spf	ebga	0.68064	0
omra	cysn	0.68051	0
omra	rela	0.68051	0
omra	mnmc	0.68046	0
omra	mipa	0.68043	0
spf	patz	0.68038	0
spf	nana	0.68035	0
omra	dusa	0.68019	0
spf	adhe	0.68014	0
omra	recc	0.68006	0
rybb	yfek	0.68002	0
omra	ilvi	0.67997	0
spf	yggw	0.67993	0
dsra	ilvh	0.67988	0
omra	cysg	0.6798	0
omra	yhfs	0.67966	0
rybb	yhjj	0.67966	0
rybb	ompn	0.67951	0
rybb	rbsk	0.67946	0
omra	cmom	0.67943	0
spf	dgce	0.67941	0
oxys	flhd	0.67932	0
omra	ydco	0.6793	0
spf	glms	0.67928	0
omra	trka	0.67893	0
omra	ynfh	0.6789	0
spf	epmb	0.6789	0
omra	mdlb	0.67888	0
omra	yhdp	0.67879	0
spf	yejb	0.67873	0
omra	uida	0.67871	0
omra	sufs	0.67867	0
spf	arnc	0.67867	0
omra	ycjg	0.67862	0
spf	mdtf	0.67857	0
spf	alac	0.67848	0
