sRNA	mRNA	Score	Class	OrdinalRank	Program
isar1	sll0294	1	0	1	CopraRNA
isar1	sll0757	1	0	2	CopraRNA
isar1	sll0821	1	0	3	CopraRNA
isar1	sll1035	1	0	4	CopraRNA
isar1	sll1317	1	1	5	CopraRNA
isar1	sll1796	1	1	6	CopraRNA
isar1	slr0018	1	0	7	CopraRNA
isar1	slr0074	1	1	8	CopraRNA
isar1	slr0343	1	0	9	CopraRNA
isar1	slr0523	1	0	10	CopraRNA
isar1	slr0653	1	0	11	CopraRNA
isar1	slr0665	1	1	12	CopraRNA
isar1	slr0857	1	0	13	CopraRNA
isar1	slr1280	1	0	14	CopraRNA
isar1	slr1516	1	1	15	CopraRNA
isar1	slr1676	1	0	16	CopraRNA
isar1	slr1808	1	1	17	CopraRNA
isar1	slr1812	1	0	18	CopraRNA
isar1	slr1834	1	1	19	CopraRNA
isar1	ssl0020	1	1	20	CopraRNA
isar1	ssl3451	1	0	21	CopraRNA
psrr1	sll1028	1	0	22	CopraRNA
psrr1	sll1578	1	1	23	CopraRNA
psrr1	slr0335	1	0	24	CopraRNA
psrr1	slr1459	1	0	25	CopraRNA
isar1	sll0288	0.99999	0	26	CopraRNA
isar1	sll0520	0.99999	0	27	CopraRNA
isar1	sll0646	0.99999	0	28	CopraRNA
isar1	slr0833	0.99999	0	29	CopraRNA
isar1	slr1055	0.99999	0	30	CopraRNA
isar1	slr1800	0.99999	0	31	CopraRNA
isar1	ssl1707	0.99999	0	32	CopraRNA
psrr1	slr0906	0.99999	0	33	CopraRNA
isar1	sll0258	0.99998	0	34	CopraRNA
isar1	sll1513	0.99998	0	35	CopraRNA
isar1	slr1874	0.99998	0	36	CopraRNA
isar1	ssr3188	0.99998	0	37	CopraRNA
psrr1	slr1655	0.99998	1	38	CopraRNA
isar1	sll0807	0.99997	0	39	CopraRNA
isar1	ssr0330	0.99997	0	40	CopraRNA
psrr1	sll1029	0.99997	0	41	CopraRNA
psrr1	ssr0390	0.99997	0	42	CopraRNA
isar1	sll0414	0.99996	0	43	CopraRNA
isar1	slr0364	0.99996	0	44	CopraRNA
isar1	slr1325	0.99996	0	45	CopraRNA
isar1	sll0423	0.99995	0	46	CopraRNA
isar1	sll0944	0.99995	0	47	CopraRNA
isar1	sll1406	0.99995	0	48	CopraRNA
isar1	slr0075	0.99995	1	49	CopraRNA
isar1	slr2038	0.99995	0	50	CopraRNA
isar1	sll0380	0.99994	0	51	CopraRNA
isar1	slr0241	0.99994	0	52	CopraRNA
isar1	slr1469	0.99994	0	53	CopraRNA
isar1	ssr3451	0.99993	1	54	CopraRNA
isar1	sll1290	0.99992	0	55	CopraRNA
isar1	slr1603	0.99992	0	56	CopraRNA
isar1	sll1546	0.99991	0	57	CopraRNA
isar1	sll1942	0.99991	0	58	CopraRNA
isar1	slr0474	0.99991	0	59	CopraRNA
isar1	slr1159	0.99991	0	60	CopraRNA
isar1	slr1510	0.99991	0	61	CopraRNA
psrr1	slr0750	0.99991	1	62	CopraRNA
isar1	slr1202	0.9999	0	63	CopraRNA
isar1	slr1674	0.9999	0	64	CopraRNA
isar1	slr1780	0.99989	0	65	CopraRNA
isar1	sll0488	0.99988	0	66	CopraRNA
isar1	sll1107	0.99988	0	67	CopraRNA
isar1	sll1268	0.99988	0	68	CopraRNA
isar1	slr0338	0.99987	0	69	CopraRNA
isar1	slr0784	0.99987	0	70	CopraRNA
isar1	ssr1375	0.99987	0	71	CopraRNA
isar1	sll1232	0.99985	0	72	CopraRNA
isar1	slr0208	0.99985	0	73	CopraRNA
psrr1	sll1194	0.99985	0	74	CopraRNA
isar1	slr0452	0.99984	1	75	CopraRNA
isar1	slr1279	0.99984	0	76	CopraRNA
isar1	slr1137	0.99983	0	77	CopraRNA
isar1	sll0382	0.99982	0	78	CopraRNA
isar1	sll1021	0.99982	0	79	CopraRNA
isar1	sll1620	0.99982	0	80	CopraRNA
isar1	ssl1923	0.99982	0	81	CopraRNA
isar1	sll0006	0.99981	0	82	CopraRNA
isar1	sll1691	0.99981	0	83	CopraRNA
isar1	slr0948	0.99981	0	84	CopraRNA
isar1	ssl0563	0.99981	0	85	CopraRNA
psrr1	slr1808	0.99981	0	86	CopraRNA
psrr1	smr0004	0.9998	0	87	CopraRNA
isar1	sll0350	0.99979	0	88	CopraRNA
isar1	sml0007	0.99979	0	89	CopraRNA
isar1	ssr1789	0.99979	0	90	CopraRNA
isar1	slr0752	0.99978	0	91	CopraRNA
psrr1	ssr2554	0.99977	0	92	CopraRNA
isar1	sll1981	0.99974	0	93	CopraRNA
isar1	slr1039	0.99974	0	94	CopraRNA
isar1	slr1142	0.99974	0	95	CopraRNA
isar1	slr1269	0.99973	0	96	CopraRNA
isar1	sll1634	0.99972	0	97	CopraRNA
isar1	sll1791	0.99972	0	98	CopraRNA
isar1	slr1119	0.99972	0	99	CopraRNA
isar1	sll0207	0.99971	0	100	CopraRNA
isar1	slr0179	0.99969	0	101	CopraRNA
isar1	slr0750	0.99969	1	102	CopraRNA
isar1	slr0966	0.99968	0	103	CopraRNA
isar1	sll1060	0.99967	0	104	CopraRNA
isar1	sll1609	0.99967	0	105	CopraRNA
isar1	slr0067	0.99967	0	106	CopraRNA
isar1	sll1908	0.99966	0	107	CopraRNA
psrr1	sll1981	0.99966	0	108	CopraRNA
isar1	sll1547	0.99965	0	109	CopraRNA
isar1	slr0342	0.99965	0	110	CopraRNA
isar1	slr1043	0.99965	0	111	CopraRNA
psrr1	sll1577	0.99965	0	112	CopraRNA
isar1	sll1929	0.99964	0	113	CopraRNA
isar1	slr1627	0.99964	0	114	CopraRNA
isar1	slr2012	0.99964	0	115	CopraRNA
psrr1	slr1209	0.99964	0	116	CopraRNA
isar1	sll0753	0.99962	0	117	CopraRNA
isar1	slr0613	0.99961	0	118	CopraRNA
isar1	slr1584	0.9996	0	119	CopraRNA
isar1	sll1395	0.99958	0	120	CopraRNA
isar1	sll1489	0.99956	0	121	CopraRNA
isar1	sll0182	0.99955	0	122	CopraRNA
isar1	slr1146	0.99955	0	123	CopraRNA
isar1	slr1216	0.99954	0	124	CopraRNA
isar1	slr1579	0.99954	0	125	CopraRNA
isar1	ssr3184	0.99954	0	126	CopraRNA
psrr1	sll1397	0.99953	0	127	CopraRNA
isar1	slr0487	0.99952	0	128	CopraRNA
isar1	slr0193	0.99951	0	129	CopraRNA
isar1	slr0214	0.99951	0	130	CopraRNA
isar1	sll0157	0.9995	0	131	CopraRNA
psrr1	ssl0563	0.9995	0	132	CopraRNA
isar1	slr1958	0.99947	0	133	CopraRNA
isar1	sll1787	0.99945	0	134	CopraRNA
