sRNA	mRNA	Score	Class	OrdinalRank	Program
gcvb	pm_rs03120	0.99998	0	1	IntaRNA
gcvb	rpmg	0.99998	0	2	IntaRNA
gcvb	pm_rs06440	0.9999	0	3	IntaRNA
gcvb	pm_rs04240	0.99989	0	4	IntaRNA
gcvb	pm_rs07290	0.99983	0	5	IntaRNA
gcvb	pm_rs00735	0.99977	0	6	IntaRNA
gcvb	pm_rs00845	0.99953	0	7	IntaRNA
gcvb	pm_rs02985	0.99934	0	8	IntaRNA
gcvb	pm_rs04425	0.99933	0	9	IntaRNA
gcvb	pm_rs05615	0.99933	0	10	IntaRNA
gcvb	pm_rs08130	0.99912	0	11	IntaRNA
gcvb	pm_rs09955	0.99855	0	12	IntaRNA
gcvb	pm_rs05655	0.99853	0	13	IntaRNA
gcvb	pm_rs04320	0.99842	0	14	IntaRNA
gcvb	pm_rs03700	0.99814	0	15	IntaRNA
gcvb	pm0480	0.99814	0	16	IntaRNA
gcvb	pm_rs06625	0.99808	0	17	IntaRNA
gcvb	pm_rs10180	0.99735	0	18	IntaRNA
gcvb	pm_rs10215	0.9973	0	19	IntaRNA
gcvb	pm_rs07635	0.99714	0	20	IntaRNA
gcvb	pm_rs06685	0.99709	0	21	IntaRNA
gcvb	rpmf	0.99709	0	22	IntaRNA
gcvb	pm_rs09170	0.9966	0	23	IntaRNA
gcvb	pm_rs00065	0.99632	0	24	IntaRNA
gcvb	pm_rs10260	0.99614	0	25	IntaRNA
gcvb	pm_rs05145	0.99593	0	26	IntaRNA
gcvb	pm_rs07490	0.99522	0	27	IntaRNA
gcvb	rpsj	0.99522	0	28	IntaRNA
gcvb	pm_rs07025	0.99514	0	29	IntaRNA
gcvb	pm_rs04175	0.99471	0	30	IntaRNA
gcvb	fis	0.99451	0	31	IntaRNA
gcvb	pm_rs06710	0.99431	0	32	IntaRNA
gcvb	groes	0.99371	0	33	IntaRNA
gcvb	pm_rs06330	0.99338	0	34	IntaRNA
gcvb	pm_rs09980	0.99336	0	35	IntaRNA
gcvb	pm_rs04895	0.99299	0	36	IntaRNA
gcvb	pm_rs10140	0.99293	0	37	IntaRNA
gcvb	ubia	0.99268	0	38	IntaRNA
gcvb	pm_rs00910	0.99233	0	39	IntaRNA
gcvb	pm_rs00470	0.99214	0	40	IntaRNA
gcvb	pm_rs00720	0.99193	0	41	IntaRNA
gcvb	pm_rs04055	0.99181	0	42	IntaRNA
gcvb	pm_rs08210	0.99179	0	43	IntaRNA
gcvb	pm_rs01710	0.99165	0	44	IntaRNA
gcvb	modb	0.99105	0	45	IntaRNA
gcvb	rpmj	0.9904	0	46	IntaRNA
gcvb	pm_rs05235	0.99034	0	47	IntaRNA
gcvb	tata	0.9901	0	48	IntaRNA
gcvb	pm_rs02245	0.98992	0	49	IntaRNA
gcvb	pm_rs10025	0.98949	0	50	IntaRNA
gcvb	glpt	0.98941	0	51	IntaRNA
gcvb	pm_rs02930	0.98923	0	52	IntaRNA
gcvb	pm_rs04370	0.98886	0	53	IntaRNA
gcvb	rpme	0.98863	0	54	IntaRNA
gcvb	pm_rs07320	0.98846	0	55	IntaRNA
gcvb	pm_rs00365	0.98829	0	56	IntaRNA
gcvb	pm_rs01775	0.9882	0	57	IntaRNA
gcvb	pm_rs03445	0.98811	0	58	IntaRNA
gcvb	pm_rs01085	0.98793	0	59	IntaRNA
gcvb	pm_rs09385	0.98793	0	60	IntaRNA
gcvb	pm0812	0.98775	0	61	IntaRNA
gcvb	pm_rs01625	0.98771	0	62	IntaRNA
gcvb	pm_rs08640	0.987	0	63	IntaRNA
gcvb	pm_rs10010	0.98689	0	64	IntaRNA
gcvb	pm1842	0.98621	0	65	IntaRNA
gcvb	pm_rs06205	0.98602	0	66	IntaRNA
gcvb	pm_rs04625	0.9858	0	67	IntaRNA
gcvb	pm_rs07270	0.98517	0	68	IntaRNA
gcvb	pm_rs03335	0.9851	0	69	IntaRNA
gcvb	pm_rs07125	0.98486	0	70	IntaRNA
gcvb	pm_rs00750	0.98462	0	71	IntaRNA
gcvb	pm_rs07245	0.98452	0	72	IntaRNA
gcvb	pm_rs10340	0.98363	0	73	IntaRNA
gcvb	pm0805	0.98362	0	74	IntaRNA
gcvb	pm_rs06600	0.98243	0	75	IntaRNA
gcvb	pm_rs03955	0.98143	0	76	IntaRNA
gcvb	pm_rs00250	0.98134	0	77	IntaRNA
gcvb	pm_rs02775	0.98118	0	78	IntaRNA
gcvb	pm_rs04140	0.98092	0	79	IntaRNA
gcvb	pm0654	0.9809	0	80	IntaRNA
gcvb	fbpc	0.98076	0	81	IntaRNA
gcvb	pm_rs02635	0.98046	0	82	IntaRNA
gcvb	pm_rs09295	0.98046	0	83	IntaRNA
gcvb	rpmb	0.97958	0	84	IntaRNA
gcvb	moac	0.9793	0	85	IntaRNA
gcvb	pm_rs07790	0.9793	0	86	IntaRNA
gcvb	pm_rs05905	0.97909	0	87	IntaRNA
gcvb	pm_rs04335	0.97894	0	88	IntaRNA
gcvb	pm_rs10375	0.97894	0	89	IntaRNA
gcvb	pm_rs04120	0.97846	0	90	IntaRNA
gcvb	pm_rs09770	0.97731	0	91	IntaRNA
gcvb	pm_rs03045	0.97646	0	92	IntaRNA
gcvb	pm_rs08315	0.97544	0	93	IntaRNA
gcvb	pm_rs09160	0.9754	0	94	IntaRNA
gcvb	pm_rs02935	0.97486	0	95	IntaRNA
gcvb	dnaa	0.97468	0	96	IntaRNA
gcvb	pm_rs09420	0.97468	0	97	IntaRNA
gcvb	pm_rs05530	0.97431	0	98	IntaRNA
gcvb	pm_rs04225	0.97415	0	99	IntaRNA
gcvb	pm_rs05115	0.97375	0	100	IntaRNA
gcvb	pm_rs08370	0.97375	0	101	IntaRNA
gcvb	secy	0.97356	0	102	IntaRNA
gcvb	pm_rs07730	0.97317	0	103	IntaRNA
gcvb	pm_rs02835	0.97298	0	104	IntaRNA
gcvb	pm_rs04940	0.97298	0	105	IntaRNA
gcvb	pm_rs05690	0.9728	0	106	IntaRNA
gcvb	pm_rs09660	0.9728	0	107	IntaRNA
gcvb	pm_rs08375	0.97219	0	108	IntaRNA
gcvb	pm_rs01250	0.97179	0	109	IntaRNA
gcvb	pm_rs01575	0.9714	0	110	IntaRNA
gcvb	pm_rs10420	0.9714	0	111	IntaRNA
gcvb	pm_rs01920	0.97139	0	112	IntaRNA
gcvb	pm_rs09010	0.97139	0	113	IntaRNA
gcvb	pm_rs05890	0.97105	0	114	IntaRNA
gcvb	pm_rs03825	0.97036	0	115	IntaRNA
gcvb	rplu	0.96995	0	116	IntaRNA
gcvb	pm_rs05545	0.96994	0	117	IntaRNA
gcvb	ribd	0.96929	0	118	IntaRNA
gcvb	pm_rs02655	0.96908	0	119	IntaRNA
gcvb	pm_rs09640	0.96886	0	120	IntaRNA
gcvb	pm0501	0.96845	0	121	IntaRNA
gcvb	pm_rs01825	0.96842	0	122	IntaRNA
