sRNA	mRNA	sRNARFTarget_Score	Class
gcvb	pm0494	0.57444	0
gcvb	pm_rs03970	0.55257	0
gcvb	pm_rs00560	0.55193	0
gcvb	pm_rs06810	0.54968	0
gcvb	pm_rs02870	0.54926	0
gcvb	pm_rs00565	0.54756	0
gcvb	pm_rs05925	0.54711	0
gcvb	pm_rs06270	0.54662	0
gcvb	pm_rs10120	0.54646	0
gcvb	pm_rs07290	0.54452	0
gcvb	pm_rs00080	0.54346	0
gcvb	pm_rs06125	0.54306	0
gcvb	pm_rs05650	0.54259	0
gcvb	pm1084	0.54259	0
gcvb	pm_rs08325	0.54153	0
gcvb	pm_rs00875	0.53975	0
gcvb	pm_rs01445	0.53889	0
gcvb	pm0283	0.53889	0
gcvb	pm_rs05860	0.53873	0
gcvb	ribd	0.53597	0
gcvb	pm_rs00910	0.53457	0
gcvb	pm_rs00900	0.53187	0
gcvb	pm_rs08475	0.53152	0
gcvb	rpmd	0.53053	0
gcvb	pm_rs02590	0.52965	0
gcvb	pm_rs02620	0.52953	0
gcvb	pm_rs10440	0.52912	0
gcvb	pm_rs09260	0.52869	0
gcvb	pm_rs08765	0.52852	0
gcvb	pm_rs04825	0.52799	0
gcvb	pm_rs07475	0.52778	0
gcvb	pm_rs09860	0.52776	0
gcvb	pm_rs00610	0.52744	0
gcvb	pm_rs07675	0.52718	0
gcvb	pm_rs01105	0.52614	0
gcvb	pm_rs05230	0.52603	0
gcvb	pm_rs10250	0.52562	0
gcvb	pm_rs03115	0.52532	0
gcvb	pm_rs02795	0.52529	0
gcvb	pm_rs06555	0.52466	0
gcvb	nudf	0.52424	0
gcvb	pm_rs00320	0.5237	0
gcvb	pm_rs03460	0.52328	0
gcvb	rpmg	0.52288	0
gcvb	pm_rs09280	0.52237	0
gcvb	pm_rs04710	0.52236	0
gcvb	pm_rs04040	0.5216	0
gcvb	pm_rs04005	0.52115	0
gcvb	pm_rs09515	0.52085	0
gcvb	pm_rs02600	0.52022	0
gcvb	pm_rs07875	0.52011	0
gcvb	pm_rs07880	0.51998	0
gcvb	pm_rs06440	0.51996	0
gcvb	pm_rs07320	0.51977	0
gcvb	pm_rs03565	0.51965	0
gcvb	pm_rs04355	0.51959	0
gcvb	pm_rs04490	0.5194	0
gcvb	smpb	0.51935	0
gcvb	pm_rs00160	0.51817	0
gcvb	pm1963	0.51758	0
gcvb	pm_rs09450	0.51755	0
gcvb	pm0489	0.51727	0
gcvb	pm0495	0.51699	0
gcvb	fis	0.51682	0
gcvb	pm0854	0.51673	0
gcvb	pm_rs06845	0.51663	0
gcvb	pm_rs04445	0.5161	0
gcvb	pm_rs07790	0.51594	0
gcvb	pm_rs03700	0.5156	0
gcvb	pm_rs09250	0.51546	0
gcvb	pm_rs03385	0.51534	0
gcvb	pm_rs04950	0.515	0
gcvb	pm_rs01170	0.51492	0
gcvb	pm_rs09525	0.51489	0
gcvb	pm_rs03080	0.51443	0
gcvb	pm_rs08365	0.51432	0
gcvb	pm_rs05275	0.51424	0
gcvb	pm_rs05245	0.51404	0
gcvb	pm_rs09355	0.51404	0
gcvb	pm_rs03695	0.51383	0
gcvb	pm_rs00545	0.51338	0
gcvb	pm_rs05615	0.51318	0
gcvb	pm_rs00820	0.51304	0
gcvb	pm_rs02155	0.51303	0
gcvb	rpsj	0.51303	0
gcvb	pm_rs03610	0.5126	0
gcvb	pm_rs00930	0.51228	0
gcvb	pm_rs00295	0.51221	0
gcvb	pm_rs03160	0.51221	0
gcvb	pm_rs00360	0.51215	0
gcvb	pm_rs00790	0.51197	0
gcvb	pm_rs09070	0.51191	0
gcvb	pm_rs03955	0.51107	0
gcvb	pm_rs03195	0.51093	0
