sRNA	mRNA	Score	Class
isar1	sll0294	1	0
isar1	sll0757	1	0
isar1	sll0821	1	0
isar1	sll1035	1	0
isar1	sll1317	1	1
isar1	sll1796	1	1
isar1	slr0018	1	0
isar1	slr0074	1	1
isar1	slr0343	1	0
isar1	slr0523	1	0
isar1	slr0653	1	0
isar1	slr0665	1	1
isar1	slr0857	1	0
isar1	slr1280	1	0
isar1	slr1516	1	1
isar1	slr1676	1	0
isar1	slr1808	1	1
isar1	slr1812	1	0
isar1	slr1834	1	1
isar1	ssl0020	1	1
isar1	ssl3451	1	0
psrr1	sll1028	1	0
psrr1	sll1578	1	1
psrr1	slr0335	1	0
psrr1	slr1459	1	0
isar1	sll0288	0.99999	0
isar1	sll0520	0.99999	0
isar1	sll0646	0.99999	0
isar1	slr0833	0.99999	0
isar1	slr1055	0.99999	0
isar1	slr1800	0.99999	0
isar1	ssl1707	0.99999	0
psrr1	slr0906	0.99999	0
isar1	sll0258	0.99998	0
isar1	sll1513	0.99998	0
isar1	slr1874	0.99998	0
isar1	ssr3188	0.99998	0
psrr1	slr1655	0.99998	1
isar1	sll0807	0.99997	0
isar1	ssr0330	0.99997	0
psrr1	sll1029	0.99997	0
psrr1	ssr0390	0.99997	0
isar1	sll0414	0.99996	0
isar1	slr0364	0.99996	0
isar1	slr1325	0.99996	0
isar1	sll0423	0.99995	0
isar1	sll0944	0.99995	0
isar1	sll1406	0.99995	0
isar1	slr0075	0.99995	1
isar1	slr2038	0.99995	0
isar1	sll0380	0.99994	0
isar1	slr0241	0.99994	0
isar1	slr1469	0.99994	0
isar1	ssr3451	0.99993	1
isar1	sll1290	0.99992	0
isar1	slr1603	0.99992	0
isar1	sll1546	0.99991	0
isar1	sll1942	0.99991	0
isar1	slr0474	0.99991	0
isar1	slr1159	0.99991	0
isar1	slr1510	0.99991	0
psrr1	slr0750	0.99991	1
isar1	slr1202	0.9999	0
isar1	slr1674	0.9999	0
isar1	slr1780	0.99989	0
isar1	sll0488	0.99988	0
isar1	sll1107	0.99988	0
isar1	sll1268	0.99988	0
isar1	slr0338	0.99987	0
isar1	slr0784	0.99987	0
isar1	ssr1375	0.99987	0
isar1	sll1232	0.99985	0
isar1	slr0208	0.99985	0
psrr1	sll1194	0.99985	0
isar1	slr0452	0.99984	1
isar1	slr1279	0.99984	0
isar1	slr1137	0.99983	0
isar1	sll0382	0.99982	0
isar1	sll1021	0.99982	0
isar1	sll1620	0.99982	0
isar1	ssl1923	0.99982	0
isar1	sll0006	0.99981	0
isar1	sll1691	0.99981	0
isar1	slr0948	0.99981	0
isar1	ssl0563	0.99981	0
psrr1	slr1808	0.99981	0
psrr1	smr0004	0.9998	0
isar1	sll0350	0.99979	0
isar1	sml0007	0.99979	0
isar1	ssr1789	0.99979	0
isar1	slr0752	0.99978	0
psrr1	ssr2554	0.99977	0
isar1	sll1981	0.99974	0
isar1	slr1039	0.99974	0
isar1	slr1142	0.99974	0
isar1	slr1269	0.99973	0
isar1	sll1634	0.99972	0
isar1	sll1791	0.99972	0
isar1	slr1119	0.99972	0
isar1	sll0207	0.99971	0
isar1	slr0179	0.99969	0
isar1	slr0750	0.99969	1
isar1	slr0966	0.99968	0
isar1	sll1060	0.99967	0
isar1	sll1609	0.99967	0
isar1	slr0067	0.99967	0
isar1	sll1908	0.99966	0
psrr1	sll1981	0.99966	0
isar1	sll1547	0.99965	0
isar1	slr0342	0.99965	0
isar1	slr1043	0.99965	0
psrr1	sll1577	0.99965	0
isar1	sll1929	0.99964	0
isar1	slr1627	0.99964	0
isar1	slr2012	0.99964	0
psrr1	slr1209	0.99964	0
isar1	sll0753	0.99962	0
isar1	slr0613	0.99961	0
isar1	slr1584	0.9996	0
isar1	sll1395	0.99958	0
isar1	sll1489	0.99956	0
isar1	sll0182	0.99955	0
isar1	slr1146	0.99955	0
isar1	slr1216	0.99954	0
isar1	slr1579	0.99954	0
isar1	ssr3184	0.99954	0
psrr1	sll1397	0.99953	0
isar1	slr0487	0.99952	0
isar1	slr0193	0.99951	0
isar1	slr0214	0.99951	0
isar1	sll0157	0.9995	0
psrr1	ssl0563	0.9995	0
isar1	slr1958	0.99947	0
isar1	sll1787	0.99945	0
isar1	slr1270	0.99945	0
isar1	slr1030	0.99943	0
psrr1	sll0832	0.99943	0
isar1	ssr2831	0.99941	0
isar1	slr0072	0.9994	0
psrr1	slr2030	0.9994	0
isar1	sll1916	0.99939	0
isar1	sll1965	0.99939	0
isar1	slr0201	0.99939	0
isar1	slr0599	0.99939	0
isar1	slr1691	0.99939	0
isar1	sll0554	0.99937	0
isar1	sll1550	0.99937	0
isar1	slr0990	0.99937	0
isar1	slr1332	0.99937	0
isar1	ssl2542	0.99937	0
isar1	slr0095	0.99936	0
isar1	sll1440	0.99935	0
isar1	sll1905	0.99935	0
isar1	slr0737	0.99935	0
isar1	sll0766	0.99933	0
isar1	slr0711	0.99933	0
isar1	slr1128	0.99933	0
isar1	sll0778	0.99931	0
psrr1	slr0929	0.99931	0
isar1	slr1438	0.9993	0
isar1	slr0891	0.99929	0
isar1	sll1054	0.99928	0
isar1	slr0456	0.99927	0
isar1	slr1205	0.99927	0
isar1	slr0044	0.99926	0
isar1	sll1632	0.99925	0
isar1	sll0320	0.99924	0
isar1	slr1090	0.99924	0
psrr1	sml0008	0.99924	1
isar1	sll0981	0.99923	0
isar1	sll1485	0.99922	0
isar1	slr0370	0.99922	0
isar1	ssr1258	0.99922	0
isar1	slr1120	0.9992	0
isar1	slr1655	0.9992	0
isar1	slr0359	0.99917	0
isar1	slr0120	0.99916	0
isar1	slr0143	0.99916	0
psrr1	sll0145	0.99915	0
isar1	sll0322	0.99914	0
isar1	slr0575	0.99914	0
isar1	slr1363	0.99914	0
isar1	slr2033	0.99914	0
isar1	ssr2799	0.99914	0
