sRNA	mRNA	Score	Class	OrdinalRank	Program
isar1	slr0445	0.60194	0	1	sRNARFTarget
psrr1	slr1819	0.59995	0	2	sRNARFTarget
isar1	sll0567	0.59793	0	3	sRNARFTarget
isar1	sll1669	0.59639	0	4	sRNARFTarget
psrr1	sll0020	0.59629	0	5	sRNARFTarget
isar1	slr0309	0.5958	0	6	sRNARFTarget
psrr1	sll1542	0.59558	0	7	sRNARFTarget
isar1	slr0399	0.5943	0	8	sRNARFTarget
isar1	sll0051	0.59422	0	9	sRNARFTarget
isar1	slr1356	0.59406	0	10	sRNARFTarget
psrr1	sll1797	0.59213	0	11	sRNARFTarget
isar1	slr1198	0.59205	0	12	sRNARFTarget
isar1	slr0426	0.59176	0	13	sRNARFTarget
isar1	sll0224	0.59155	0	14	sRNARFTarget
psrr1	slr0156	0.59138	0	15	sRNARFTarget
isar1	slr0603	0.59117	0	16	sRNARFTarget
psrr1	slr0399	0.5906	0	17	sRNARFTarget
psrr1	slr0267	0.58991	0	18	sRNARFTarget
isar1	sll1045	0.5896	0	19	sRNARFTarget
isar1	slr1706	0.58958	0	20	sRNARFTarget
isar1	sll0167	0.58909	0	21	sRNARFTarget
isar1	sll1252	0.58886	0	22	sRNARFTarget
psrr1	sll0517	0.58837	0	23	sRNARFTarget
isar1	slr0272	0.58807	0	24	sRNARFTarget
isar1	sll0703	0.5875	0	25	sRNARFTarget
isar1	sll1051	0.58737	0	26	sRNARFTarget
isar1	slr1051	0.58712	0	27	sRNARFTarget
isar1	slr0447	0.587	0	28	sRNARFTarget
isar1	slr2081	0.58678	0	29	sRNARFTarget
psrr1	sll0818	0.58678	0	30	sRNARFTarget
isar1	slr0773	0.58665	0	31	sRNARFTarget
isar1	slr0302	0.58582	0	32	sRNARFTarget
isar1	sll0145	0.58553	0	33	sRNARFTarget
isar1	slr1661	0.5855	0	34	sRNARFTarget
isar1	slr0738	0.58501	0	35	sRNARFTarget
psrr1	slr1043	0.58493	0	36	sRNARFTarget
isar1	sll1755	0.58481	0	37	sRNARFTarget
isar1	slr1519	0.58477	0	38	sRNARFTarget
isar1	slr0145	0.5844	0	39	sRNARFTarget
isar1	slr0249	0.58434	0	40	sRNARFTarget
psrr1	sll1771	0.58432	0	41	sRNARFTarget
isar1	slr0184	0.5841	0	42	sRNARFTarget
isar1	slr0021	0.58385	0	43	sRNARFTarget
isar1	slr1150	0.58365	0	44	sRNARFTarget
isar1	sll0764	0.58358	0	45	sRNARFTarget
isar1	slr0358	0.58317	0	46	sRNARFTarget
isar1	slr0676	0.58308	0	47	sRNARFTarget
isar1	slr1488	0.58306	0	48	sRNARFTarget
psrr1	sll1825	0.58297	0	49	sRNARFTarget
isar1	slr0537	0.58273	0	50	sRNARFTarget
isar1	slr2043	0.58265	0	51	sRNARFTarget
isar1	sll0679	0.58256	0	52	sRNARFTarget
isar1	sll0654	0.58237	0	53	sRNARFTarget
isar1	sll0639	0.58225	0	54	sRNARFTarget
psrr1	slr0640	0.58216	0	55	sRNARFTarget
isar1	slr1894	0.58205	0	56	sRNARFTarget
isar1	sll1033	0.58204	0	57	sRNARFTarget
psrr1	slr1435	0.58202	0	58	sRNARFTarget
psrr1	sll0616	0.58181	0	59	sRNARFTarget
isar1	sll1830	0.58165	0	60	sRNARFTarget
isar1	slr2025	0.58134	0	61	sRNARFTarget
isar1	sll1823	0.58132	0	62	sRNARFTarget
psrr1	sll0763	0.58122	0	63	sRNARFTarget
isar1	sll1653	0.58118	0	64	sRNARFTarget
isar1	sll0405	0.58115	0	65	sRNARFTarget
psrr1	slr2062	0.58098	0	66	sRNARFTarget
psrr1	slr0149	0.58093	0	67	sRNARFTarget
isar1	sll1059	0.58085	0	68	sRNARFTarget
psrr1	slr0019	0.58084	0	69	sRNARFTarget
isar1	sll1687	0.58076	0	70	sRNARFTarget
isar1	slr0942	0.58071	0	71	sRNARFTarget
isar1	sll1599	0.58059	0	72	sRNARFTarget
isar1	sll0698	0.58054	0	73	sRNARFTarget
isar1	sll0454	0.5805	0	74	sRNARFTarget
isar1	slr1400	0.58045	0	75	sRNARFTarget
isar1	slr0711	0.58022	0	76	sRNARFTarget
isar1	slr2111	0.58015	0	77	sRNARFTarget
isar1	slr1285	0.58006	0	78	sRNARFTarget
isar1	sll1138	0.58004	0	79	sRNARFTarget
psrr1	slr1895	0.58004	0	80	sRNARFTarget
psrr1	ssl0352	0.58	0	81	sRNARFTarget
isar1	slr1564	0.57988	0	82	sRNARFTarget
isar1	sll0565	0.57987	0	83	sRNARFTarget
isar1	slr0366	0.57981	0	84	sRNARFTarget
isar1	sll0616	0.57974	0	85	sRNARFTarget
isar1	sll1654	0.57974	0	86	sRNARFTarget
isar1	slr0842	0.57966	0	87	sRNARFTarget
isar1	sll1242	0.57964	0	88	sRNARFTarget
psrr1	sll0897	0.57962	0	89	sRNARFTarget
psrr1	sll0792	0.57952	0	90	sRNARFTarget
isar1	sll0395	0.5794	0	91	sRNARFTarget
isar1	slr1562	0.57937	0	92	sRNARFTarget
psrr1	slr1751	0.57912	0	93	sRNARFTarget
isar1	sll1514	0.57903	0	94	sRNARFTarget
isar1	sll0102	0.57901	0	95	sRNARFTarget
isar1	slr1966	0.57882	0	96	sRNARFTarget
isar1	sll0757	0.57864	0	97	sRNARFTarget
psrr1	sll0871	0.57864	0	98	sRNARFTarget
isar1	slr0552	0.57853	0	99	sRNARFTarget
isar1	sll0218	0.57844	0	100	sRNARFTarget
isar1	slr1867	0.57838	0	101	sRNARFTarget
isar1	slr1875	0.57829	0	102	sRNARFTarget
isar1	slr1842	0.57826	0	103	sRNARFTarget
isar1	sll0141	0.57825	0	104	sRNARFTarget
isar1	slr1140	0.5782	0	105	sRNARFTarget
isar1	slr0043	0.57817	0	106	sRNARFTarget
isar1	slr0346	0.57806	0	107	sRNARFTarget
isar1	sll1854	0.5779	0	108	sRNARFTarget
psrr1	sll1804	0.57786	0	109	sRNARFTarget
isar1	slr1130	0.57782	0	110	sRNARFTarget
psrr1	slr2097	0.57782	0	111	sRNARFTarget
isar1	slr1103	0.57767	0	112	sRNARFTarget
isar1	slr0232	0.57763	0	113	sRNARFTarget
isar1	sll1624	0.57755	0	114	sRNARFTarget
psrr1	slr0851	0.57741	0	115	sRNARFTarget
psrr1	sll1762	0.5774	0	116	sRNARFTarget
isar1	slr0314	0.57719	0	117	sRNARFTarget
psrr1	sll1677	0.57719	0	118	sRNARFTarget
isar1	sll1268	0.57709	0	119	sRNARFTarget
isar1	sll0856	0.57708	0	120	sRNARFTarget
psrr1	slr0551	0.57708	0	121	sRNARFTarget
