sRNA	mRNA	IntaRNA_Score	Class
isar1	slr1102	1	0
psrr1	sll1027	0.99998	0
isar1	slr1729	0.99991	0
isar1	slr1788	0.99985	0
isar1	sll1888	0.99983	0
isar1	slr1495	0.99975	0
psrr1	slr0749	0.99974	0
isar1	slr0964	0.99966	0
isar1	ssr1256	0.99963	0
isar1	slr1726	0.99951	0
psrr1	sll0208	0.99946	0
psrr1	sll1665	0.99929	0
isar1	sll0006	0.99921	0
psrr1	slr1512	0.99916	0
psrr1	sll1360	0.99904	0
psrr1	slr0743	0.99896	0
isar1	sll1265	0.99877	0
isar1	sll0162	0.99876	0
psrr1	slr2131	0.99853	0
isar1	sll0654	0.9985	0
psrr1	slr1699	0.99841	0
psrr1	sll0727	0.99831	0
psrr1	slr1403	0.99831	0
psrr1	sll0489	0.99815	0
isar1	sll1787	0.9979	0
isar1	slr1975	0.99773	0
isar1	sll0504	0.9976	0
isar1	slr0876	0.99712	0
isar1	sll0721	0.99707	0
isar1	slr2099	0.99688	0
isar1	slr0569	0.99673	0
psrr1	sll1540	0.99645	0
isar1	slr1103	0.99626	0
isar1	sll1789	0.99609	0
isar1	slr0212	0.99605	0
isar1	sll1723	0.99525	0
isar1	sll0750	0.995	0
isar1	slr0750	0.995	1
isar1	slr0197	0.99465	0
psrr1	slr1772	0.99465	0
psrr1	slr0624	0.99451	0
psrr1	slr0513	0.99447	0
psrr1	slr1212	0.99442	0
isar1	sll1043	0.99432	0
isar1	sll0855	0.99408	0
psrr1	slr1648	0.99403	0
isar1	slr0851	0.99367	0
psrr1	sll1473	0.99357	0
isar1	slr2031	0.9933	0
psrr1	slr0043	0.99319	0
isar1	slr0208	0.99285	0
psrr1	sll1068	0.99279	0
psrr1	sll0696	0.99273	0
isar1	sll1940	0.99173	0
isar1	sll0021	0.99146	0
isar1	slr1543	0.99146	0
isar1	slr1224	0.99126	0
psrr1	slr0734	0.99047	0
isar1	sll0045	0.9904	0
psrr1	slr0597	0.99002	0
isar1	slr1041	0.98986	0
psrr1	sll0109	0.98986	0
isar1	slr2130	0.98962	0
psrr1	sll0776	0.98954	0
isar1	sll0616	0.9893	0
psrr1	sll1750	0.98897	0
psrr1	slr1768	0.9888	0
psrr1	sll1624	0.98871	0
isar1	slr1908	0.98863	0
isar1	sll1932	0.98819	0
isar1	sll0698	0.98792	0
psrr1	sll1934	0.98783	0
psrr1	slr2058	0.98746	0
isar1	sll1484	0.98717	0
isar1	slr1435	0.98717	0
psrr1	slr1227	0.98698	0
psrr1	slr1934	0.98688	0
psrr1	sll1653	0.98649	0
psrr1	sll1082	0.98598	0
psrr1	slr2002	0.98588	0
isar1	sll0745	0.98546	0
psrr1	slr0386	0.98535	0
isar1	slr1557	0.98503	0
psrr1	slr0243	0.98503	0
psrr1	slr0909	0.98503	0
isar1	slr0554	0.9847	0
isar1	slr1187	0.9847	0
isar1	sll0180	0.98459	0
isar1	slr1759	0.98436	0
psrr1	slr0681	0.98436	0
isar1	slr0359	0.98425	0
isar1	slr0527	0.98425	0
psrr1	sll1338	0.98402	0
psrr1	slr1379	0.98402	0
psrr1	slr0869	0.98379	0
psrr1	sll0362	0.98367	0
isar1	slr1789	0.98355	0
psrr1	sll1392	0.98355	0
psrr1	sll1670	0.98355	0
psrr1	slr0318	0.98355	0
isar1	sll0533	0.98295	0
isar1	slr0228	0.98271	0
psrr1	slr1777	0.98271	0
isar1	slr0695	0.98233	0
psrr1	slr1641	0.98233	0
isar1	sll0790	0.98195	0
psrr1	slr1187	0.98195	0
psrr1	sll1414	0.98183	0
isar1	slr2104	0.98144	0
psrr1	slr0366	0.98131	0
isar1	slr0193	0.98117	0
psrr1	slr1303	0.98117	0
psrr1	slr0387	0.98091	0
isar1	sll1686	0.98077	0
isar1	sll1031	0.98064	0
psrr1	slr1572	0.98023	0
psrr1	slr0302	0.98009	0
isar1	slr0653	0.97895	0
isar1	sll0158	0.97866	0
psrr1	slr0147	0.97866	0
psrr1	slr0665	0.97866	0
isar1	slr1885	0.97851	0
isar1	slr1349	0.97836	0
psrr1	slr1237	0.97836	0
psrr1	slr0616	0.97806	0
psrr1	slr1044	0.97806	0
psrr1	slr1177	0.97806	0
psrr1	slr1295	0.97776	0
isar1	slr0744	0.97745	0
isar1	sll0450	0.97714	0
psrr1	sll1894	0.97714	0
psrr1	slr1350	0.97699	0
psrr1	sll1265	0.97667	0
psrr1	slr2084	0.97651	0
isar1	sll0083	0.97635	0
isar1	slr1055	0.97635	0
isar1	slr1239	0.97603	0
isar1	slr1863	0.97603	0
psrr1	sll1052	0.97587	0
isar1	sll1618	0.9757	0
psrr1	sll1555	0.97487	0
psrr1	slr0960	0.97401	0
isar1	sll1965	0.97384	0
isar1	slr1228	0.97384	0
isar1	sll0613	0.97349	0
isar1	sll0576	0.97331	0
isar1	slr1202	0.97331	0
psrr1	slr1238	0.97331	0
psrr1	slr0088	0.97313	0
isar1	slr0692	0.97295	0
psrr1	sll1925	0.97295	0
isar1	slr2100	0.97241	0
isar1	slr0643	0.97223	0
isar1	slr0043	0.97204	0
isar1	slr0608	0.97204	0
psrr1	sll1608	0.97186	0
psrr1	slr0359	0.97186	0
psrr1	slr0587	0.97186	0
